Id,Time[ns],Parallel: Items
672,7217450.00000000000000000000,7C
673,7217460.00000000000000000000,38
674,7220600.00000000000000000000,78
675,7220610.00000000000000000000,5F
676,7223760.00000000000000000000,7F
677,7223770.00000000000000000000,7C
678,7223780.00000000000000000000,6C
679,7226930.00000000000000000000,64
680,7230070.00000000000000000000,7C
681,7230080.00000000000000000000,5D
682,7233230.00000000000000000000,7F
683,7233240.00000000000000000000,37
684,7236390.00000000000000000000,FE
685,7236400.00000000000000000000,EE
686,7239540.00000000000000000000,FE
687,7239550.00000000000000000000,1E
688,7242700.00000000000000000000,BF
689,7245860.00000000000000000000,BC
690,7245870.00000000000000000000,90
691,7249010.00000000000000000000,BA
692,7252170.00000000000000000000,F8
693,7252190.00000000000000000000,D8
694,7255320.00000000000000000000,D9
695,7255330.00000000000000000000,C9
696,7258490.00000000000000000000,88
697,7261640.00000000000000000000,0B
698,7264790.00000000000000000000,DF
699,7267950.00000000000000000000,DC
700,7267960.00000000000000000000,C0
701,7271100.00000000000000000000,C4
702,7271110.00000000000000000000,07
703,7274260.00000000000000000000,4F
704,7274270.00000000000000000000,4D
705,7277420.00000000000000000000,6C
706,7280570.00000000000000000000,FE
707,7280580.00000000000000000000,DE
708,7280590.00000000000000000000,DA
709,7283730.00000000000000000000,5A
710,7283750.00000000000000000000,52
711,7286890.00000000000000000000,19
712,7290040.00000000000000000000,5B
713,7290050.00000000000000000000,5A
714,7293200.00000000000000000000,DB
715,7293210.00000000000000000000,9B
716,7296350.00000000000000000000,FB
717,7296360.00000000000000000000,75
718,7299510.00000000000000000000,77
719,7299520.00000000000000000000,07
720,7302670.00000000000000000000,7C
721,7302680.00000000000000000000,78
722,7305820.00000000000000000000,F8
723,7305830.00000000000000000000,E1
724,7308980.00000000000000000000,E6
725,7308990.00000000000000000000,86
726,7312130.00000000000000000000,96
727,7312140.00000000000000000000,3F
728,7315290.00000000000000000000,7F
729,7315300.00000000000000000000,40
730,7318450.00000000000000000000,D0
731,7318460.00000000000000000000,90
732,7321600.00000000000000000000,BC
733,7321610.00000000000000000000,3C
734,7321620.00000000000000000000,2C
735,7324760.00000000000000000000,9C
736,7327920.00000000000000000000,BC
737,7327940.00000000000000000000,AC
738,7331070.00000000000000000000,FF
739,7331090.00000000000000000000,F7
740,7334230.00000000000000000000,7F
741,7334240.00000000000000000000,3A
742,7337380.00000000000000000000,7A
743,7337390.00000000000000000000,C9
744,7340550.00000000000000000000,08
745,7343700.00000000000000000000,BC
746,7346850.00000000000000000000,FE
747,7346860.00000000000000000000,7E
748,7346870.00000000000000000000,6A
749,7350010.00000000000000000000,6E
750,7353170.00000000000000000000,FD
751,7353180.00000000000000000000,DD
752,7356320.00000000000000000000,FD
753,7356330.00000000000000000000,B0
754,7356340.00000000000000000000,A0
755,7359480.00000000000000000000,B6
756,7362640.00000000000000000000,05
757,7365790.00000000000000000000,17
758,7368950.00000000000000000000,5C
759,7368960.00000000000000000000,48
760,7372100.00000000000000000000,6E
761,7372110.00000000000000000000,2F
762,7375260.00000000000000000000,ED
763,7378420.00000000000000000000,FF
764,7378430.00000000000000000000,9B
765,7381580.00000000000000000000,1A
766,7381590.00000000000000000000,0A
767,7384730.00000000000000000000,39
768,7387890.00000000000000000000,8A
769,7387900.00000000000000000000,82
770,7391040.00000000000000000000,FE
771,7394200.00000000000000000000,FF
772,7394210.00000000000000000000,BB
773,7397350.00000000000000000000,BF
774,7397360.00000000000000000000,BE
775,7397370.00000000000000000000,9E
776,7400510.00000000000000000000,DF
777,7400520.00000000000000000000,C7
778,7403670.00000000000000000000,CD
779,7403680.00000000000000000000,8D
780,7406820.00000000000000000000,DF
781,7406840.00000000000000000000,D3
782,7409980.00000000000000000000,F7
783,7413140.00000000000000000000,7C
784,7413150.00000000000000000000,08
785,7416290.00000000000000000000,BC
786,7419450.00000000000000000000,FE
787,7419460.00000000000000000000,EA
788,7422600.00000000000000000000,FA
789,7422610.00000000000000000000,3B
790,7422620.00000000000000000000,13
791,7425760.00000000000000000000,BA
792,7425780.00000000000000000000,AA
793,7428920.00000000000000000000,FC
794,7432070.00000000000000000000,FD
795,7432080.00000000000000000000,E1
796,7432090.00000000000000000000,A1
797,7435230.00000000000000000000,BC
798,7435240.00000000000000000000,9C
799,7438380.00000000000000000000,BC
800,7438390.00000000000000000000,3E
801,7438400.00000000000000000000,36
802,7441540.00000000000000000000,66
803,7441550.00000000000000000000,64
804,7444700.00000000000000000000,74
805,7444710.00000000000000000000,70
806,7447850.00000000000000000000,79
807,7447860.00000000000000000000,09
808,7451010.00000000000000000000,FE
809,7454170.00000000000000000000,7F
810,7454180.00000000000000000000,43
811,7457320.00000000000000000000,1B
812,7457330.00000000000000000000,18
813,7460480.00000000000000000000,5B
814,7460490.00000000000000000000,4B
815,7463630.00000000000000000000,5B
816,7463640.00000000000000000000,D9
817,7466800.00000000000000000000,D8
818,7469950.00000000000000000000,7D
819,7469960.00000000000000000000,65
820,7473100.00000000000000000000,6F
821,7473110.00000000000000000000,4F
822,7473120.00000000000000000000,4B
823,7476260.00000000000000000000,FC
824,7479420.00000000000000000000,FE
825,7479430.00000000000000000000,C6
826,7482570.00000000000000000000,8F
827,7482580.00000000000000000000,0D
828,7485730.00000000000000000000,59
829,7488890.00000000000000000000,89
830,7492040.00000000000000000000,BD
831,7495200.00000000000000000000,7D
832,7495210.00000000000000000000,79
833,7498350.00000000000000000000,F9
834,7501510.00000000000000000000,FE
